marca,modelo,versao,mercado,campo,valor,unidade,fonte_url,extraido_em
Ford,Ranger,Raptor,BR,potencia,400,cv,https://www.ford.com.br/ranger/,2026-03-29
Ford,Ranger,Raptor,BR,torque,59.2,kgfm,https://www.ford.com.br/ranger/,2026-03-29
Ford,Ranger,Raptor,BR,motor,V6 3.0 Biturbo,,https://www.ford.com.br/ranger/,2026-03-29
Ford,Ranger,Raptor,BR,transmissao,Automatica 10 velocidades,,https://www.ford.com.br/ranger/,2026-03-29
Ford,Ranger,Raptor,BR,tracao,4x4,,https://www.ford.com.br/ranger/,2026-03-29
Ford,Ranger,Raptor,BR,suspensao,Fox 2.5 Live Valve,,https://www.ford.com.br/ranger/,2026-03-29
Ford,Ranger,Raptor,BR,capacidade_carga,620,kg,https://www.ford.com.br/ranger/,2026-03-29
Ford,Ranger,Raptor,BR,entre_eixos,3270,mm,https://www.ford.com.br/ranger/,2026-03-29
Ford,Ranger,Raptor,BR,comprimento,5381,mm,https://www.ford.com.br/ranger/,2026-03-29
Ford,Ranger,Raptor,BR,tanque,80,litros,https://www.ford.com.br/ranger/,2026-03-29
Ford,Ranger,Raptor,BR,preco_sugerido,449990,BRL,https://www.ford.com.br/ranger/,2026-03-29
Ford,Ranger,Limited,BR,potencia,210,cv,https://www.ford.com.br/ranger/,2026-03-29
Ford,Ranger,Limited,BR,torque,51,kgfm,https://www.ford.com.br/ranger/,2026-03-29
Ford,Ranger,Limited,BR,motor,2.0 Turbo Diesel,,https://www.ford.com.br/ranger/,2026-03-29
Ford,Ranger,Limited,BR,transmissao,Automatica 6 velocidades,,https://www.ford.com.br/ranger/,2026-03-29
Ford,Ranger,Limited,BR,tracao,4x4,,https://www.ford.com.br/ranger/,2026-03-29
Ford,Ranger,Limited,BR,suspensao,Independente dianteira / Rigida traseira,,https://www.ford.com.br/ranger/,2026-03-29
Ford,Ranger,Limited,BR,capacidade_carga,785,kg,https://www.ford.com.br/ranger/,2026-03-29
Ford,Ranger,Limited,BR,entre_eixos,3270,mm,https://www.ford.com.br/ranger/,2026-03-29
Ford,Ranger,Limited,BR,comprimento,5381,mm,https://www.ford.com.br/ranger/,2026-03-29
Ford,Ranger,Limited,BR,tanque,80,litros,https://www.ford.com.br/ranger/,2026-03-29
Ford,Ranger,Limited,BR,preco_sugerido,289990,BRL,https://www.ford.com.br/ranger/,2026-03-29
Toyota,Hilux,SRX,BR,potencia,204,cv,https://www.toyota.com.br/hilux/,2026-03-29
Toyota,Hilux,SRX,BR,torque,50.9,kgfm,https://www.toyota.com.br/hilux/,2026-03-29
Toyota,Hilux,SRX,BR,motor,2.8 Turbo Diesel,,https://www.toyota.com.br/hilux/,2026-03-29
Toyota,Hilux,SRX,BR,transmissao,Automatica 6 velocidades,,https://www.toyota.com.br/hilux/,2026-03-29
Toyota,Hilux,SRX,BR,tracao,4x4,,https://www.toyota.com.br/hilux/,2026-03-29
Toyota,Hilux,SRX,BR,suspensao,Independente dianteira / Rigida traseira com molas,,https://www.toyota.com.br/hilux/,2026-03-29
Toyota,Hilux,SRX,BR,capacidade_carga,720,kg,https://www.toyota.com.br/hilux/,2026-03-29
Toyota,Hilux,SRX,BR,entre_eixos,3085,mm,https://www.toyota.com.br/hilux/,2026-03-29
Toyota,Hilux,SRX,BR,comprimento,5325,mm,https://www.toyota.com.br/hilux/,2026-03-29
Toyota,Hilux,SRX,BR,tanque,80,litros,https://www.toyota.com.br/hilux/,2026-03-29
Toyota,Hilux,SRX,BR,preco_sugerido,299990,BRL,https://www.toyota.com.br/hilux/,2026-03-29
Toyota,Hilux,GR-Sport,BR,potencia,224,cv,https://www.toyota.com.br/hilux/,2026-03-29
Toyota,Hilux,GR-Sport,BR,torque,55.1,kgfm,https://www.toyota.com.br/hilux/,2026-03-29
Toyota,Hilux,GR-Sport,BR,motor,2.8 Turbo Diesel,,https://www.toyota.com.br/hilux/,2026-03-29
Toyota,Hilux,GR-Sport,BR,transmissao,Automatica 6 velocidades,,https://www.toyota.com.br/hilux/,2026-03-29
Toyota,Hilux,GR-Sport,BR,tracao,4x4,,https://www.toyota.com.br/hilux/,2026-03-29
Toyota,Hilux,GR-Sport,BR,suspensao,Monotube com reservatorio remoto,,https://www.toyota.com.br/hilux/,2026-03-29
Toyota,Hilux,GR-Sport,BR,capacidade_carga,680,kg,https://www.toyota.com.br/hilux/,2026-03-29
Toyota,Hilux,GR-Sport,BR,entre_eixos,3085,mm,https://www.toyota.com.br/hilux/,2026-03-29
Toyota,Hilux,GR-Sport,BR,comprimento,5325,mm,https://www.toyota.com.br/hilux/,2026-03-29
